S/N,statement,A1,A2,A3,target,source,text_origin
57,Ṣó o láyà? Tope Osoba fakọyọ nínú ìmọ̀ èdè Yoruba,non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
58,"""N kò bẹ̀rẹ̀ iṣẹ́ ilé kíkùn pẹ̀lú owó gbígbà, owó ọkọ̀ àti oúnjẹ Noodles nìkan ni wọn ń fún mi""",non-sarcastic,sarcastic,non-sarcastic,non-sarcastic,BBC News,original
59,"""Àpá tó so sí àgbọ̀n mi (Keloid) ló fa iṣẹ́ abẹ, mo lọ tan iná sójú ọgbẹ́ náà àmọ́ UCH fọ́ mi lójú""",non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
60,"Russia rọ̀jò àdó olóró sórí Ukraine, èèyàn 34 kú, 117 míì farapa",non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
61,Ohun tó yẹ kí o mọ̀ nípa ẹgbẹ́ agbébọn Mahmuda tó ń ṣoro nípìnlẹ̀ Kwara,non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
62,Báwo ni wọ́n ṣe ń yan Póòpù tuntun?,non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
63,Pásítọ̀ kó sí gbaga fún ṣíṣe aṣemáṣe pẹ̀lú ọmọdé tó jẹ́ àkàndá l'Ondo,non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
64,"Afurasí tó ń ṣagolo-ṣàgò gún ọmọ-ọmọ olórin Asiko, Comfort Omoge pa l'Ondo",non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
65,"Èyí ni ìdí tí mo ṣe fi iṣẹ́ Fada sílẹ̀ nínú ìjọ Àgùda, tí mo sì di oníṣẹ̀ṣe",non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
66,"Ọmọ Ghana mẹ́sàn án tí wọ́n fi iṣẹ́ tàn kúrò nílé, bá ara wọn nígbèkùn  ní Mowe, nípìnlẹ̀ Ogun",non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
67,"Francis, ẹ̀ṣọ́ aláàbò nílé ijó tó di Póòpù tó mú àyípadà ńlá bá ìjọ Kátólíìkì",non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
68,"Kìnìún wọ ilé onílé, ó pa ọmọ ọdún mẹ́rìnlá",non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
69,"Àwọn ajínigbé ṣọṣẹ́ ní Kwara, jí gbogbo èèrò inú ọkọ̀ gbé",non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
70,Lo ojú òpó yìí láti mọ̀ bóyá o ní ìfúnpá gíga tàbí wà nínú ewu láti ní i,non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
71,Akẹ́kọ̀ọ́ fásitì OAU gan mọ́ iná lásìkò tó ń gbá bọ́ọ̀lù,non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
72,"Christian Chukwu, akọ́nimọ̀ọ́gbá Super Eagles tẹ́lẹ̀, jáde láyé",non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
73,Kí ló dé tí ẹnu fi ń kun ẹgbẹ́ agbábọ́ọ̀lù 3SC ilẹ̀ Ibadan?,non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
74,"Ṣé lóòtọ́ọ́ ní pé gbèsè ló lé Segun Olanrewaju, abẹ̀sẹ́kùbíòjò tó kú lójú ìjà, padà sídìí ẹ̀ṣẹ́ kíkàn? Àwọn mọ̀lẹ́bí rẹ̀ sọ̀rọ̀",non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
75,"Abẹ̀ṣẹ́kú-bí-òjò, George Foreman, jáde láyé",non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
76,"Bàbá onílé yìnbọn mọ́ ọmọdé tó gbá bọ́ọ̀lù sínú ọgbà ilé rẹ̀, ọ̀rọ̀ bẹ́yìn yọ",non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
77,'Ìfẹ́ tí mo ní sí ọ̀bọ ló jẹ́ kí n bẹ̀rẹ̀ eré ìdárayá lílo ọwọ́ àti ẹsẹ̀ fi sáré',non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
78,"Karim Adeyemi, agbábọ́ọ̀lù ọmọ Naijiria tó ń ran àwọn ọ̀dọ́ lọ́wọ́",non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
79,"Mọ̀ nípa ọdún eégún ìlú Ekan-Meje, níbi tó ti jẹ́ èèwọ̀ láti gbé àjẹkù oúnjẹ́ lọ sílé látibi ọdún",non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
80,Eniola Badmus àti Laide Bakare fìjà pẹ́ẹta níbi ìfilọ́lẹ̀ fíìmù Eniola Ajao,non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
81,"Wo iléẹ̀kọ́ àwọn olóyún tí wọn ti ń gba àmì ẹ̀yẹ fún ijó jíjó, oge ṣíṣe àti ìmọ́tótó",non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
82,Agbébọn jí pásítọ̀ gbé lásìkò ìwàásù nínú ṣọ́ọ̀ṣì,non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
83,Mi ò kábàmọ́ọ̀ pé ìyàwó mi tó kú nigbà tó fẹ́ bímọ kò forúkọ sílẹ̀ nílé ìwòsàn - Folajimi,non-sarcastic,sarcastic,non-sarcastic,non-sarcastic,BBC News,original
84,Àní ká fi ọ̀rọ̀ ọ̀hún mu tábà ní gbẹ́rẹ́fu. Ọ̀rọ̀ burúkú tòun tẹ̀rín,non-sarcastic,sarcastic,non-sarcastic,non-sarcastic,BBC News,original
85,Ẹ tún fẹ́ gbé wa mọ́ra àbí? Ẹ ti pawó sápò yín tán àbí bẹ́ẹ̀ kọ́?,non-sarcastic,sarcastic,non-sarcastic,non-sarcastic,BBC News,original
86,"Pàtàkì ni oyè Kudẹfù lóde Ọ̀yọ́, Gẹ́gẹ́bí aláàfin tó bá jẹ, bí èèyàn bá ti jẹ Kúdẹfù kò gbọdọ̀ fi ààfin Ọ̀yọ́ sílẹ̀",non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,X,original
87,Ọ̀pọ̀lọpọ̀ fóònù olówó iyebíye tuntun ló jóná nínú ìjàmbá iná ọ̀hún,non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
88,"Nlẹ o, abéwúrẹ́ sọ̀rọ̀, wọ́n ti kọ̀ǹgọ́ bọ ìlù",non-sarcastic,sarcastic,non-sarcastic,non-sarcastic,BBC News,original
89,"Ìgbà gbá mi dànù, mo wá ńhùwà bí àkọ́ọ̀gbà",sarcastic,sarcastic,non-sarcastic,sarcastic,YouTube,original
90,Ata gígún ni ilé ayé,sarcastic,sarcastic,non-sarcastic,sarcastic,YouTube,original
91,O ti ní ìríríi táláká púpọ̀,sarcastic,sarcastic,sarcastic,sarcastic,YouTube,original
92,"Níbi tí mo ti ń ṣiṣẹ́, bàbá, mo wọ́ ike owó kan ni jàre",sarcastic,sarcastic,non-sarcastic,sarcastic,YouTube,original
93,Kílọdé tí o ní éńjìnì Benz tí o wá ńfi kórópe wàá?,sarcastic,sarcastic,non-sarcastic,sarcastic,YouTube,original
94,"Tí wọ́n bá ti nfi ọkọ ayọ́kẹ́lẹ́ gbe ènìyàn, yóò ma yọ́ kẹ́lẹ́kẹ́lẹ́ nọ́ọ̀ni",sarcastic,sarcastic,non-sarcastic,sarcastic,YouTube,original
95,"Lẹ́yìn ò rẹyìn, EFCC ṣàlàyé ìdí tí VDM fi wà ní àhámọ́ rẹ̀",sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,YouTube,original
96,Ọọ̀ní ṣe pàtàkì fún ìṣọ̀kan àti ìlọsíwájú Naijiria – Goodluck Jonathan,sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,YouTube,original
97,"Ìdí rèé tí Ọlọ́pàá àti Amotekun ṣe kọjú ìjà síra wọn l'Ondo, tí ọ̀pọ̀ èèyàn sì farapa",non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
98,"Kí ló ń fa àṣìṣe lórí ètò ẹ̀yáwó akẹ́kọ̀ọ́, táwọn akẹ́kọ̀ọ́jáde fi ń rí ẹ̀yáwó náà gba?",non-sarcastic,sarcastic,non-sarcastic,non-sarcastic,BBC News,original
99,"""Amotekun gbé àbúrò mi lọ́jọ́ Àìkú, pa á lọ́jọ́ Ajé, ọ̀gá wọn ń bẹ̀ mi, kí ń gba N1m láti fi sin ín""",non-sarcastic,sarcastic,non-sarcastic,non-sarcastic,BBC News,original
100,Ìyàwó ilé méjì dèrò ẹ̀wọ̀n fún fífi PoS ta owó náírà tó tó N3.8m àti N1.6m,non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
101,Ọlọ́pàá ṣàwárí obìnrin tó sọnù láti ọdún 1962,non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
102,Àlàyé lórí ìdí tí Ààrẹ Togo fi lè wà nípò títí láí,non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
103,Ìjọ Àgùdà korò ojú sí Trump lórí àwòrán ara à rẹ̀ bíi Póòpù tó gbé síta,non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
104,Wọ́n sọ fún ìyá mi láti jù mí nù ní kékeré nítorí mo ní àìsàn 'Sickle Cell' àmọ́ mo tí pé ọdún 65 báyìí',non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
105,Wo àwọn nǹkan tó yẹ láti ṣe tí o bá fẹ́ máa lo ẹ̀rọ a-mú-oúnjẹ-gbóná,non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
106,Ọlọ́pàá bá òkú ọmọ Nàìjíríà tí wọ́n gún pa sínú ilé ní ó ku ọ̀sẹ̀ méjì tó máa parí ìkẹ́kọ̀ọ́ nọ́ọ̀sì ní US,non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
107,"Èmi ni Ọba Fuji, kí Kwam 1 má pe ara rẹ̀ bẹ́ẹ̀ mọ́ – Kollington Ayinla",non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
108,Ǹjẹ́ òfin fàyè gba Gómìnà láti fẹgbẹ́ òṣèlú rẹ̀ sílẹ̀ darapọ̀ mọ́ òmíràn? Ohun tí a mọ̀ rèé,non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
109,Ìjọba Saudi Arabia kéde ìjìyà tuntun fún àwọn tó ń wọ ilẹ̀ náà lọ́nà àìtọ́,non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
110,Mo bù sẹ́kún nígbà tí mo rí fọ́nrán àwọn èèyàn kan tó ń fi mí ṣe yẹ̀yẹ́ nítorí mi ò lọ́kọ - Funke Akindele,non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
111,Darandaran tó fi mààlúù jẹko l'Ondo gba ìdájọ́ ẹ̀wọ̀n ọdún mẹ́wàá,non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
112,Mọ̀ nípa àtunṣe márùn-un ti INEC fẹ́ẹ́ ṣe sí òfin ìdìbò ilẹ̀ Naijiria,non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
113,A ò gbà pé ìdájọ́ òdodo ti wáyé lórí ikú Bamise tí awakọ̀ BRT pa - Ẹbí Bamise Ayanwola fárígá lẹ́yìn ìdájọ́,non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
114,A ò bá ohun ìgbéṣùmọ̀mí lára Nnamdi Kanu -Ẹlẹ́rìí tí DSS pè,non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
115,"Ìná tún sọ ní Ibadan, ọ̀pọ̀ dúkìá tún báa lọ",non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
116,A ṣe àṣìṣe fífi ẹ̀sùn jìbìtì kan NELFUND- ICPC,non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
117,E-Money kìlọ̀ lẹ́yìn tó bọ́ lọ́wọ́ EFCC - Ẹ yé tàbùkù owó náírà mọ́!,non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
118,NIMC ṣe àfikún iye owó ìforúkọsílẹ̀ àti àtúnṣe NIN,non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
119,Àwọn òṣìṣẹ́ bínú sí ìjọba Naijiria láyàájọ́ ọjọ́ òṣìṣẹ́,non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
120,"Kúdẹ́fù, ẹrú tó di ẹmẹ̀wà Aláàfin tí kò sì gbọ́dọ̀ fi ààfin Ọ̀yọ́ sílẹ̀",non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
121,Wo bí o ṣe lè mọ iléeṣẹ́ tó fi orúkọ sílẹ̀ pẹ̀lu CAC,non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
122,"Owu Waterfalls, ibùdó afẹ́ 'tó léwu ní lílọ̀ láì mú ẹ̀ṣọ́ aláàbò dáni'",non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
123,"Ta làwọn ọmọ ilẹ̀ Africa mẹ́ta tó ti jẹ Póòpù ìjọ Àgùdà, kí lò dé tí aláwọ̀ dúdú kankan kò dépo náà mọ́ lẹ́yìn wọn?",non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
124,"Bí àwọn èèyàn bá rí mi, ọmọ gómìnà Adeleke ni wọ́n ń pè mí nítorí pé a jọra gidigidi'",non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
125,Ọjọ́ mẹ́rin ni ọkọ mi fi sá kúrò nílé lẹ́yìn tó gbọ́ pé ìbẹta ni mo bí',non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
126,"Gbèsè ni mo fi tọ́ àwọn ìbejì tó gba First Class, tayọ jù lọ ní UI'",non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
127,"Ebi kọ́ ló mú kí àwọn ọmọ mi máa bá mi ṣiṣẹ́ fọga, kí ọjọ́ ọ̀la wọn le dára ni'",non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
128,Mò n fi èdè Ìjẹ̀bú kọ́ àwọn akẹ́kọ̀ọ́ mi ní ìṣirò nítorí mo fẹ́ kó yé wọn dáàdáà',non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
129,"Lẹ́yìn ọdún mẹta, erò ọkọ̀ ojú irin pàdé ẹni to jì i gbe ní mọ́ṣáláṣí",non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
130,Ṣé lóòótọ́ ni CBEX ti bẹ̀rẹ̀ iṣẹ́ padà ní Naijiria?,non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
131,"Ọ̀rọ̀ Soun Ogbomoso àtí Ìmáàmù Àgbà tún ṣẹ́yọ, Iléẹjọ́ so Ìmáàmù lọ́wọ́kọ́ lórí ìfinjoyè, Soun ní ìkọjá-àyè ni",non-sarcastic,non-sarcastic,non-sarcastic,non-sarcastic,BBC News,original
